1	0.75
3	1.6
5	2.27
10	3.12
20	3.9
50	3.72
70	4.79
90	3.84
110	4.33
130	3.94
160	3.65
190	4.2
260	3.29
340	3.1
400	2.7
450	2.04
500	1.5
594 1
